section,half,round_no,battle_no,team1,team2,player1,player2,fise,winlose,class1_used,class1_pool,class2_used,class2_pool,video_url
2,前半戦,2,4,ZETA,LVH,チームバトル,チームバトル,先攻,WIN,ネメシス,ウィッチ|ナイトメア|ビショップ|ネメシス,エルフ,エルフ|ロイヤル|ナイトメア|ビショップ,https://www.youtube.com/watch?v=MFduC1Mlva4&t=14553
2,前半戦,2,5,ZETA,LVH,チームバトル,チームバトル,後攻,LOSE,ウィッチ,ウィッチ|ナイトメア|ビショップ,ロイヤル,ロイヤル|ナイトメア|ビショップ,https://www.youtube.com/watch?v=MFduC1Mlva4&t=16095
2,後半戦,1,1,DFM,RC,ユーリ,拓海,先攻,WIN,ナイトメア,エルフ|ロイヤル|ナイトメア,ウィッチ,エルフ|ウィッチ|ビショップ,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=1669
2,後半戦,1,2,DFM,RC,ミル,あぐのむ,後攻,WIN,ドラゴン,ドラゴン|ネメシス,ネメシス,ナイトメア|ネメシス,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=3151
2,後半戦,1,3,DFM,RC,かなで,たばた,後攻,LOSE,ウィッチ,ウィッチ|ビショップ,ドラゴン,ロイヤル|ドラゴン,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=4181
2,後半戦,1,4,DFM,RC,チームバトル,チームバトル,先攻,LOSE,エルフ,エルフ|ロイヤル|ビショップ|ネメシス,ビショップ,エルフ|ロイヤル|ナイトメア|ビショップ,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=5920
2,後半戦,1,5,DFM,RC,チームバトル,チームバトル,先攻,WIN,ネメシス,ロイヤル|ビショップ|ネメシス,ナイトメア,エルフ|ロイヤル|ナイトメア,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=7310
2,後半戦,2,1,RDL,MRG,折り紙,Toby,先攻,LOSE,ドラゴン,エルフ|ドラゴン|ネメシス,ビショップ,エルフ|ウィッチ|ビショップ,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=9846
2,後半戦,2,2,RDL,MRG,Chappy,Spicies,先攻,LOSE,ナイトメア,ロイヤル|ナイトメア,ネメシス,ナイトメア|ネメシス,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=11415
2,後半戦,2,3,RDL,MRG,山田レクイエム,glory,先攻,LOSE,ビショップ,ウィッチ|ビショップ,ドラゴン,ロイヤル|ドラゴン,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=12440
2,後半戦,2,4,RDL,MRG,チームバトル,チームバトル,後攻,WIN,ネメシス,エルフ|ロイヤル|ウィッチ|ネメシス,ナイトメア,エルフ|ロイヤル|ウィッチ|ナイトメア,https://www.youtube.com/watch?v=8v4bKsn0WAI&t=13734
